Dorsal,Nombre,Posicion,Altura,Ano_de_nacimiento,Alcance_en_ataque,Alcance_en_bloqueo,id_jugador,temporada,id_equipo
22,Fresquet Barcelo Xavier,Middle-blocker,200.0,2003,254.0,251.0,127-2023-2024,2023-2024,10-2023-2024
1,Carreno Millon Marco,Receptor,192.0,2004,0.0,0.0,128-2023-2024,2023-2024,10-2023-2024
2,Viera Iglesias Alvaro,Opuesto,194.0,2003,0.0,0.0,129-2023-2024,2023-2024,10-2023-2024
3,Rodriguez Perez Victor,Receptor,199.0,0,0.0,0.0,130-2023-2024,2023-2024,10-2023-2024
4,Moya Berenguel Alejandro,Libero,175.0,2004,0.0,0.0,131-2023-2024,2023-2024,10-2023-2024
5,Fernandez Martinez Francisco Jose,Libero,177.0,1995,0.0,0.0,132-2023-2024,2023-2024,10-2023-2024
7,Bertassoni Paulo Renan,Colocador/a,185.0,1985,0.0,0.0,133-2023-2024,2023-2024,10-2023-2024
8,Fernandez Jorge,Middle-blocker,202.0,1989,0.0,0.0,134-2023-2024,2023-2024,10-2023-2024
9,Neaves Matthew Michael,Opuesto,207.0,2000,0.0,0.0,135-2023-2024,2023-2024,10-2023-2024
10,Ruiz Garrido Francisco Jose,Receptor,178.0,1991,0.0,0.0,136-2023-2024,2023-2024,10-2023-2024
11,Fernandez Lopez Fernando,Middle-blocker,200.0,1997,0.0,0.0,137-2023-2024,2023-2024,10-2023-2024
12,Vizcaino Gallardo Javier,Colocador/a,191.0,2003,0.0,0.0,138-2023-2024,2023-2024,10-2023-2024
14,Ruiz Mira Borja,Middle-blocker,200.0,1992,0.0,0.0,139-2023-2024,2023-2024,10-2023-2024
1,Nieves Suarez Carlos,Receptor,203.0,2004,342.0,312.0,140-2023-2024,2023-2024,11-2023-2024
2,Grossi Anderson,Middle-blocker,204.0,1994,350.0,338.0,141-2023-2024,2023-2024,11-2023-2024
3,Funes Facundo Jesus,Receptor,183.0,1994,334.0,307.0,142-2023-2024,2023-2024,11-2023-2024
4,Monfort Minaya Javier,Receptor,196.0,1990,346.0,320.0,143-2023-2024,2023-2024,11-2023-2024
5,Allen Serrano Luis Vidal,Middle-blocker,200.0,2001,360.0,345.0,144-2023-2024,2023-2024,11-2023-2024
7,Mengod Bautista Fernando,Receptor,184.0,1993,326.0,293.0,145-2023-2024,2023-2024,11-2023-2024
10,Huerta Fabregat Jose Ignacio,Colocador/a,179.0,1998,322.0,292.0,146-2023-2024,2023-2024,11-2023-2024
12,Monfort Minaya Vicente,Colocador/a,185.0,1988,328.0,305.0,147-2023-2024,2023-2024,11-2023-2024
14,Perez Lledo Pablo,Opuesto,198.0,2004,340.0,311.0,148-2023-2024,2023-2024,11-2023-2024
15,Dangel Mulen Armando,Opuesto,192.0,1989,340.0,320.0,149-2023-2024,2023-2024,11-2023-2024
18,Iborra Ballester Hector,Libero,179.0,2003,306.0,280.0,150-2023-2024,2023-2024,11-2023-2024
20,Postemsky Ivan,Middle-blocker,203.0,1992,334.0,315.0,151-2023-2024,2023-2024,11-2023-2024
21,Mengod Bautista Javier,Libero,184.0,1996,315.0,285.0,152-2023-2024,2023-2024,11-2023-2024
22,Rabell Trullenque Carlos,Middle-blocker,189.0,2022,336.0,322.0,153-2023-2024,2023-2024,11-2023-2024
1,Da Cruz Neto Walter,Middle-blocker,202.0,1989,350.0,340.0,154-2023-2024,2023-2024,12-2023-2024
2,Lynard Oskar,Middle-blocker,0.0,1999,0.0,0.0,155-2023-2024,2023-2024,12-2023-2024
4,Garcia Borras Hector,Colocador/a,179.0,1998,315.0,299.0,156-2023-2024,2023-2024,12-2023-2024
5,Grau Canto Joaquin Jose,Libero,188.0,2004,0.0,0.0,157-2023-2024,2023-2024,12-2023-2024
7,Amoros Martin Arel,Middle-blocker,186.0,2007,343.0,313.0,158-2023-2024,2023-2024,12-2023-2024
9,Quesada Gomez Justo,Receptor,188.0,2007,338.0,315.0,159-2023-2024,2023-2024,12-2023-2024
10,Piqueres Flor Nestor,Libero,174.0,1995,0.0,0.0,160-2023-2024,2023-2024,12-2023-2024
11,Piqueres Flor Eder,Colocador/a,174.0,1995,302.0,282.0,161-2023-2024,2023-2024,12-2023-2024
13,Pla Sanchez Alfredo,Receptor,176.0,2002,0.0,0.0,162-2023-2024,2023-2024,12-2023-2024
14,Osorio Recorda Gerard,Opuesto,198.0,1993,350.0,340.0,163-2023-2024,2023-2024,12-2023-2024
15,Mari Domene Alvaro,Middle-blocker,198.0,2002,333.0,315.0,164-2023-2024,2023-2024,12-2023-2024
17,Martinez Gomez Sergio,Opuesto,190.0,2002,329.0,309.0,165-2023-2024,2023-2024,12-2023-2024
20,Hernandez Robeff Tomas Agustin,Receptor,190.0,1998,329.0,308.0,166-2023-2024,2023-2024,12-2023-2024
23,Jimenez Gallego Carlos,Receptor,193.0,1995,346.0,320.0,167-2023-2024,2023-2024,12-2023-2024
77,Fernandez Rodriguez Francisco,Receptor,0.0,1996,0.0,0.0,168-2023-2024,2023-2024,12-2023-2024
1,Ferreira Garcia Gabriel,Colocador/a,188.0,1997,310.0,300.0,1-2022-2023,2022-2023,1-2022-2023
2,Alves Ramos Vitor,Receptor,194.0,2002,330.0,322.0,2-2022-2023,2022-2023,1-2022-2023
3,Bouza Ferreiro Victor,Receptor,187.0,1990,330.0,320.0,3-2022-2023,2022-2023,1-2022-2023
4,Romani Leandro Gustavo,Middle-blocker,205.0,1999,337.0,323.0,4-2022-2023,2022-2023,1-2022-2023
7,Gallardo Hernandez Rodrigo,Libero,183.0,1999,295.0,268.0,5-2022-2023,2022-2023,1-2022-2023
8,Marino Gonzalez Anier,Middle-blocker,184.0,2005,310.0,300.0,6-2022-2023,2022-2023,1-2022-2023
9,Barrasa Portomene Samuel,Libero,179.0,2007,290.0,270.0,7-2022-2023,2022-2023,1-2022-2023
10,Anane Osamudiamen Jorge,Middle-blocker,194.0,2001,330.0,320.0,8-2022-2023,2022-2023,1-2022-2023
11,Villar Alvarez Pablo,Colocador/a,186.0,2002,320.0,310.0,9-2022-2023,2022-2023,1-2022-2023
12,Rodriguez Rubio Aurelio,Middle-blocker,193.0,2000,308.0,300.0,10-2022-2023,2022-2023,1-2022-2023
13,Mena Romero Pau,Opuesto,197.0,2001,338.0,330.0,11-2022-2023,2022-2023,1-2022-2023
14,Linares Jose Luis,Opuesto,182.0,1998,335.0,320.0,12-2022-2023,2022-2023,1-2022-2023
15,Garcia Ordonez Carlos,Receptor,175.0,2003,280.0,270.0,13-2022-2023,2022-2023,1-2022-2023
17,Biliato Luca,Receptor,179.0,1993,312.0,310.0,14-2022-2023,2022-2023,1-2022-2023
1,Crespo Fushan Pablo,Middle-blocker,194.0,2006,0.0,0.0,15-2022-2023,2022-2023,2-2022-2023
2,Rojas Caceres Cristhian,Receptor,193.0,2001,342.0,330.0,16-2022-2023,2022-2023,2-2022-2023
3,Schorlemmer Cuesta Nicolas,Middle-blocker,200.0,2005,335.0,325.0,17-2022-2023,2022-2023,2-2022-2023
4,Garcia Borras Hector,Colocador/a,179.0,1998,310.0,300.0,18-2022-2023,2022-2023,2-2022-2023
5,Masia Porres Arnau,Libero,181.0,2002,315.0,306.0,19-2022-2023,2022-2023,2-2022-2023
6,Ferri Beneito Francisco Javier,Opuesto,188.0,1999,325.0,318.0,20-2022-2023,2022-2023,2-2022-2023
7,Loeches Buitrago Guillermo,Colocador/a,183.0,1996,325.0,312.0,21-2022-2023,2022-2023,2-2022-2023
9,Leon Yohan,Receptor,201.0,1995,355.0,341.0,22-2022-2023,2022-2023,2-2022-2023
10,Grossi Anderson,Middle-blocker,204.0,1994,350.0,338.0,23-2022-2023,2022-2023,2-2022-2023
